orignal_nepali,suspicious_nepali,label
"एक पुरुष, महिला, र बच्चा एक समुद्र तट मा रमाइलो गर्दै।",तीन जनाको परिवार समुद्र तटमा छ।,1
"एक पुरुष, महिला, र बच्चा एक समुद्र तट मा रमाइलो गर्दै।",तीन जनाको परिवार सपिङ मलमा छ।,0
मानिसहरू ट्रेनमा चढ्न वा भर्खरै ओर्लन पर्खिरहेका छन्।,ट्रेनमा चढ्ने मान्छेहरू छन्,1
मानिसहरू ट्रेनमा चढ्न वा भर्खरै ओर्लन पर्खिरहेका छन्।,ट्रेनमा कुरिरहेका मान्छेहरू छन्।,1
एक जोडी समुद्र तटमा सानो केटासँग खेल्दै।,एक जोडी बाहिर एउटा सानो बच्चासँग खेल्दै छन्।,1
एक जोडी समुद्र तटमा सानो केटासँग खेल्दै।,एक जोडीले एक सानी केटीलाई समुद्र तटमा एक्लै खेलिरहेको हेर्दै।,0
एक जोडी आफ्नो जवान छोरासँग ज्वारभाटामा खेल्दै।,परिवार खाना खान बसिरहेको छ।,0
एक जोडी आफ्नो जवान छोरासँग ज्वारभाटामा खेल्दै।,परिवार बाहिर छ।,1
एक पुरुष र एक महिला पिज्जा र gyro रेस्टुरेन्ट अगाडि सडक पार गर्दै।,जनता अझै पनि नाकाबन्दीमा उभिरहेका छन् ।,0
एक पुरुष र एक महिला पिज्जा र gyro रेस्टुरेन्ट अगाडि सडक पार गर्दै।,"एक जोडी रेस्टुरेन्ट नजिक, दुई व्यक्ति सडक पार गर्दै हिंड्छन्।",1
हरियो ज्याकेट र टाउकोमा हुड लगाएकी एउटी महिला उपत्यकातिर हेर्दै।,नारी नाङ्गै छिन् ।,0
हरियो ज्याकेट र टाउकोमा हुड लगाएकी एउटी महिला उपत्यकातिर हेर्दै।,महिलाले हरियो पहिरन लगाएकी छिन् ।,1
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,उनीहरुले राजधानी बाहिर विरोध प्रदर्शन गरिरहेका छन् ।,0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,सेतो पहिरनमा एउटी महिला।,1
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,एक व्यक्ति रेस्टुरेन्टको लागि विज्ञापन गर्दै छन्।,1
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,महिलाले कालो पहिरन लगाएकी छिन् ।,0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,महिलाले सेतो लुगा लगाएकी छिन् ।,1
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,ओलम्पिक पौडी।,0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,जोन्स पिज्जा र जाइरोमा एक पुरुष र एक महिला सँगै खाइरहेका छन्।,0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,तिनीहरू चिन्ह लिएर हिँड्छन्।,1
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,जोनको पिज्जा र काखमा ग्यारोको चिन्ह लिएर मानिस बसिरहेको छ।,0
अग्रभूमिमा सेतो पहिरनमा महिला र पृष्ठभूमिमा जोन्स पिज्जा र जाइरोको चिन्ह लिएर अलिकति पछाडि हिँडिरहेको पुरुष।,महिला र पुरुष बाहिर छन्।,1
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",रातो जर्सी लगाएको व्यक्तिलाई पछ्याउन सडक पार गर्न दुई वयस्कहरू दौडन्छन्।,0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",वयस्कहरू पुरुष र महिला दुवै हुन्।,1
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुई वयस्क पानीमा पौडी खेल्दै,0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुई वयस्कहरू सडक पार गर्दै।,1
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुईजना साइकल चढेर सुरुङमा पुग्छन्।,0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुईजना मानिसहरू एक रेस्टुरेन्टबाट सडक पार गर्दै हिंड्छन्।,1
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",कोही रेल चढ्छन् ।,0
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",दुई वयस्क सडकमा हिंड्छन्।,1
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",सडक पार गर्दै दुई वयस्क,1
"दुई वयस्क, एक महिला सेतो, छाया र एक पुरुष, खैरो लुगा लगाएको, अग्रभूमिमा गाढा रंगको रातो शर्ट लगाएको व्यक्तिको धमिलो छवि भएको भोजनालयबाट टाढा सडक पार गर्दै।",चित्रमा महिला छैनन्।,0
"सेतो लुगा लगाएकी एउटी महिला र खाँदै, ब्रीफकेस लिएर एक पुरुषको छेउमा हिंड्छिन्।",एक विवाहित जोडी सुतिरहेको छ।,0
"सेतो लुगा लगाएकी एउटी महिला र खाँदै, ब्रीफकेस लिएर एक पुरुषको छेउमा हिंड्छिन्।",एक महिला पुरुषको छेउमा छ।,1
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",कसैसँग खाना छैन।,0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।","एउटी महिला केरा खान्छिन् र सडक पार गरिरहेकी छिन्, र त्यहाँ एक पुरुष उनको पछि लाग्दै छ।",1
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",महिला र पुरुष सँगै बेसबल खेलिरहेका छन्।,0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।","एउटी महिला फुटपाथमा आइसक्रिम खाइरहेकी छिन्, र उनको अगाडि पर्स लिएर अर्को महिला छिन्।",0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",खाने मान्छे ।,1
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",केरा खाँदै एक महिला सडक पार गर्दै,1
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",एउटी महिला खाजा खान बसिरहेकी छिन्,0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",महिला क्याफेमा कफी खाइरहेकी छिन्,0
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",केरा खाइरहेकी महिला।,1
"एउटी महिला केरा खाँदै सडक पार गरिरहेकी छिन्, जबकि एक पुरुष आफ्नो ब्रीफकेस लिएर पछ्याइरहेका छन्।",महिला बाहिर छिन्,1
एक स्कीयर धातुको रेलको छेउमा स्लाइड गर्दै।,एक स्कीयर रेलको नजिक छ।,1
एक स्कीयर धातुको रेलको छेउमा स्लाइड गर्दै।,एक स्कीयर रेलबाट टाढा छ।,0
रातमा रेलमा स्कीमा एक व्यक्ति।,महिलाले कार खान्छिन्,0
रातमा रेलमा स्कीमा एक व्यक्ति।,व्यक्ति स्की गर्छ,1
मेटल बारहरूले बनेको र्‍याम्पको किनारमा बिजुली हरियोमा स्कीयर।,चम्किलो लुगा लगाएको स्कीयर रेसकोर्सबाट तल ओर्लियो।,1
मेटल बारहरूले बनेको र्‍याम्पको किनारमा बिजुली हरियोमा स्कीयर।,जोगर सडकमा दौडियो।,0
पहेंलो वर्दी लगाएको स्कीयरले रेल गरिएको वस्तुमा ट्रिक प्रदर्शन गर्दैछ।,एक स्नोबोर्डर स्की लिफ्ट चढ्दै हुनुहुन्छ।,0
पहेंलो वर्दी लगाएको स्कीयरले रेल गरिएको वस्तुमा ट्रिक प्रदर्शन गर्दैछ।,कोही जाडो खेलकुदमा संलग्न छन्।,1
एक गोरा मानिस सार्वजनिक फोहराबाट रक्सी पिइरहेको छ।,मानिसले पानी पिइरहेको छ।,1
एक गोरा मानिस सार्वजनिक फोहराबाट रक्सी पिइरहेको छ।,मान्छे कफी पिइरहेको छ।,0
भिजेको खैरो कुकुर क्यामेरातिर पौडीन्छ।,कुकुर आफ्नो ओछ्यानमा सुतिरहेको छ।,0
भिजेको खैरो कुकुर क्यामेरातिर पौडीन्छ।,एउटा कुकुर पानीमा छ।,1
कुकुर पौडी खेलिरहेको क्लोजअप छवि।,एउटा बिरालो अनिच्छुक भएर नुहाउँछ।,0
कुकुर पौडी खेलिरहेको क्लोजअप छवि।,एउटा कुकुर पानीको शरीरमा पौडी खेलिरहेको छ।,1
प्यारो खैरो कुकुर समुन्द्रमा पौडी खेलिरहेको छ।,एउटा कुकुर पौडी खेलिरहेको छ।,1
प्यारो खैरो कुकुर समुन्द्रमा पौडी खेलिरहेको छ।,एउटा कुकुर आँगन वरिपरि दौडिरहेको छ।,0
एउटा ठूलो खैरो कुकुर क्यामेरातिर पौडी खेल्छ।,एउटा कुकुरले लठ्ठीलाई पछ्याइरहेको छ।,0
एउटा ठूलो खैरो कुकुर क्यामेरातिर पौडी खेल्छ।,एउटा कुकुर क्यामेरातिर पौडी खेल्छ।,1
"खरानी टोपी लगाएको कालो टोपी लगाएको मान्छे, पिचफोर्क समातेर, घोडा तान्ने गाडीलाई निर्देशन दिन्छ।",खैरो टोपी र पिचफोर्क भएको मानिसले कार्टलाई निर्देशन गरिरहेको छ।,1
"खरानी टोपी लगाएको कालो टोपी लगाएको मान्छे, पिचफोर्क समातेर, घोडा तान्ने गाडीलाई निर्देशन दिन्छ।",नीलो लुगा लगाएकी महिलाले घोडालाई कार्टमा ठोक्दै छिन्।,0
"एक मानिस पुरानो देश भित्र, घाँस सडक माथि क्लाइड्सडेलको नेतृत्व गर्दैछ।",एक जना मानिस आफ्नो घोडा लिएर देशको बाटोमा हिंड्दै छ।,1
"एक मानिस पुरानो देश भित्र, घाँस सडक माथि क्लाइड्सडेलको नेतृत्व गर्दैछ।",खैरो व्यापार सूटमा एउटी महिला चिया पिउदै छिन्।,0
एक किसान घोडा र गाडीको साथ मलले आफ्नो बगैंचामा मल दिँदै।,मानिसले आफ्नो बगैचामा मल दिइरहेको छ।,1
एक किसान घोडा र गाडीको साथ मलले आफ्नो बगैंचामा मल दिँदै।,त्यो मानिस आफ्नो घोडा र गाडी लिएर सहरको सडकमा छ।,0
एउटा सेतो घोडाले गाडा तानेको बेला एक जना मानिस उभिएर हेरिरहेको छ।,एउटा जनावर बाहिर हिँडिरहेको छ।,1
एउटा सेतो घोडाले गाडा तानेको बेला एक जना मानिस उभिएर हेरिरहेको छ।,एकजना मानिस घोडा दौड हेर्दै छन्।,0
चर्च जानेहरूको एउटा सानो समूहले गाउने अभ्यास हेर्छ।,एउटा समूह अभ्यास हेर्छ।,1
चर्च जानेहरूको एउटा सानो समूहले गाउने अभ्यास हेर्छ।,एक गायकले खचाखच भरिएको भीडको अगाडि प्रदर्शन गर्दछ।,0
एउटा कुकुर समुद्र तटमा रातो डिस्क छोड्छ।,एउटा कुकुर समुद्र तटमा बल समात्छ,0
एउटा कुकुर समुद्र तटमा रातो डिस्क छोड्छ।,एउटा कुकुर रातो डिस्क छोड्छ,1
एक पुरुष र एक महिला पहाडको टुप्पोमा सडकमा हिंडिरहेका छन्।,एक पुरुष र महिला सडकमा हिंड्दै।,1
एक पुरुष र एक महिला पहाडको टुप्पोमा सडकमा हिंडिरहेका छन्।,दुई जना मानिस पहाडमा क्याच खेल्दै छन्।,0
एक वृद्ध मानिस क्याफेमा सुन्तलाको जुस पिइरहेका छन्।,एक वृद्ध मानिस बारमा स्याउको जुस पिइरहेका छन्।,0
एक वृद्ध मानिस क्याफेमा सुन्तलाको जुस पिइरहेका छन्।,एक वृद्ध मानिस क्याफेमा पेय पदार्थको मजा लिइरहेको छ।,1
एक जोडी हात समातेर सडकमा हिंडिरहेको छ।,बाटोको छेउमा मानिसहरु बसिरहेका छन् ।,0
एक जोडी हात समातेर सडकमा हिंडिरहेको छ।,मानिसहरू हात समातेर हिँडिरहेका छन्।,1
एक जोडी सेतो ईंटको शहरमा हिंड्दै।,मानिसहरु बाहिर हिँडिरहेका छन् ।,1
एक जोडी सेतो ईंटको शहरमा हिंड्दै।,एक पुरुष र महिला खैरो ईंट शहरमा हिंड्दै।,0
केटाकेटी विद्यालयबाट घर जाँदैछन्।,बच्चाहरू पुस्तकालयमा छन्।,0
केटाकेटी विद्यालयबाट घर जाँदैछन्।,विद्यालयका बालबालिका घर जान्छन् ।,1
क्याथोलिक गिर्जाघरमा गाउने गीत सुनिरहेका मानिसहरू।,मानिसहरू मेटल ब्यान्ड सुनिरहेका छन्।,0
क्याथोलिक गिर्जाघरमा गाउने गीत सुनिरहेका मानिसहरू।,सामूहिक रूपमा गायन गायन।,1
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,एक साइकल चालक मलमा खाजा खान बसिरहेको छ।,0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू बाहिर छन्।,1
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकलहरू सडकमा छन्।,1
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,मोटरसाइकलमा सवार एक व्यक्ति सडक नजिकै छ।,1
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,बाइकरहरू चोकमा रोकिन्छन् र ट्राफिकको लागि पर्खिरहेका छन्।,1
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू आफ्नो बाइकमा मलको माध्यमबाट सवारी गर्छन्।,0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू आफ्नो पालो पार गर्न पर्खिरहेका छन्।,1
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू फ्रीवेमा सवार।,0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल चालकको मृत्यु भएको छ ।,0
साइकल यात्रीहरू चौराहेमा पर्खिरहेका छन्।,साइकल यात्रीहरू घरमै छन्।,0
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,साथीहरूको गुच्छा डुङ्गामा छन्,0
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,मोटरसाइकल भएका मान्छे।,1
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,मानिसहरु भित्र पर्खिरहेका छन्।,0
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,बाहिर केही मानिसहरु छन् ।,1
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,मानिसहरु आफ्नो बाइकमा छन् ।,1
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,मानिसहरु बाइकमा छन् ।,1
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,जनता रातो बत्ती बालिरहेका छन् ।,0
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,कार दौडमा मानिसहरू।,0
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,पुरुष र महिला बाहिर सडकको कुनामा।,1
साइकलमा बत्तिको पर्खाइमा मानिसहरू।,एउटा लेडीबग सुन्दर गुलाबी गुलाबमा अवतरण भएको छ।,0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरू स्केटबोर्डमा छन्।,0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरु आफ्नो साइकल चलाउँछन्।,1
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरु ट्राफिक पर्खिरहेका छन्।,1
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,मानिसहरु पैदल पर्खिरहेका छन् ।,0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,त्यहाँ सडकमा साइकल यात्रीहरू रोकिएका छन्।,1
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,जनता सुतिरहेका छन् ।,0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,चलचित्रको प्रदर्शनीलाई जनता पर्खिरहेका छन् ।,0
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,साइकलमा एकभन्दा बढी व्यक्तिले ट्राफिक नियम पालना गरिरहेका छन् ।,1
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,साइकलमा मान्छेहरू छन्।,1
साइकलमा सवार मानिसहरू चौराहेमा पर्खिरहेका छन्।,साइकलमा सवार व्यक्तिहरू एक चौराहेबाट गति गर्छन्।,0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,कार्ट खाली छ।,0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,एउटा मानिसले अर्को मानिसलाई पिग्गीब्याक सवारी दिँदै छ।,0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,एउटा कार्ट वस्तुहरूले भरिएको छ।,1
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,एउटा मानिस बेन्चमुनि सुतिरहेको छ।,0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,एक मानिसले अर्को मानिसलाई हेर्छ।,1
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,"कोही वस्तुहरूले भरिएको कार्टको शीर्षमा छन्, कोही अरूले अवलोकन गर्छन्।",1
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,पुरुषले एउटी महिलालाई हेरिरहेको छ।,0
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,एउटा मान्छे गाडिको माथि उभिरहेको छ।,1
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,कार्ट शीर्षमा भरिएको छ।,1
रातो शर्ट लगाएको मान्छेले अर्को मान्छेलाई हेरिरहेको छ जो माथि भरिएको कार्टको माथि उभिरहेको छ।,एक मानिसले अक्टोपस खान्छ।,0
एउटी केटा पानीको फोहोराबाट पानी पिउदै महिला जस्तो आकारको।,एक पुरुषले पानी पिउदैछ।,1
एउटी केटा पानीको फोहोराबाट पानी पिउदै महिला जस्तो आकारको।,एकजना मानिस गिलासबाट कागती पानी पिइरहेका छन्।,0
सहरमा तीनजना बाइकर रोक्छन्।,सहरमा मोटरसाइकल रोकिन्छन्,1
सहरमा तीनजना बाइकर रोक्छन्।,एउटा सहरले तीन बाइकरको आगमन देखेको छ।,1
सहरमा तीनजना बाइकर रोक्छन्।,तीन बाइकरहरू 100 माइल प्रति घण्टा जाँदैछन्,0
सहरमा तीनजना बाइकर रोक्छन्।,बाइकरहरूले पानीको सास फेर्छन्,0
सहरमा तीनजना बाइकर रोक्छन्।,बाइकरहरू ग्यासको लागि रोक्छन्,1
सहरमा तीनजना बाइकर रोक्छन्।,त्यहाँ एक धेरै क्रोधित कुकुर छ।,0
सहरमा तीनजना बाइकर रोक्छन्।,सहरमा बाइकरहरू छन्।,1
सहरमा तीनजना बाइकर रोक्छन्।,सडकमा मोटरसाइकल चलाउनेहरूको समूह छ।,1
सहरमा तीनजना बाइकर रोक्छन्।,सहरमा बाइकरहरू रोकिएनन्।,0
सहरमा तीनजना बाइकर रोक्छन्।,सडकमा पाँचजना मोटरसाइकल गुडिरहेका छन् ।,0
ट्रकमा जोडिएको ट्रेलरमा ब्रश लोड गर्दै दुई व्यक्ति।,एउटा मानिस पानीमा डोंगी बोकेर हिँडिरहेको छ।,0
ट्रकमा जोडिएको ट्रेलरमा ब्रश लोड गर्दै दुई व्यक्ति।,केही व्यक्तिहरू ट्रकमा जोडिएको ट्रेलरमा ब्रश लोड गर्दै छन्।,1
